PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
National,X,2004,1,7602,314349,1160,2.89129419229667,2.41833121785022,1930,2299,2605,X,X,768
National,X,2004,2,5583,308614,1141,2.10428983637694,1.80905597283338,1679,1857,1586,X,X,461
National,X,2004,3,4961,289774,1084,1.8869563898866,1.7120238530717,1721,1604,1276,X,X,360
National,X,2004,4,4436,287586,1071,1.77659664241317,1.54249511450488,1487,1543,1067,X,X,339
National,X,2004,5,4251,295646,1054,1.46000622974468,1.43786826136663,1454,1448,1047,X,X,302
National,X,2004,6,3824,288762,986,1.37786947617157,1.32427396956663,1420,1297,889,X,X,218
National,X,2004,7,3691,282347,1004,1.30532339707921,1.30725667352584,1301,1255,876,X,X,259
National,X,2004,8,2916,281202,948,1.08691103879546,1.03697697740414,956,1038,719,X,X,203
National,X,2004,9,2744,271597,894,0.991887735220218,1.01032043800189,925,910,682,X,X,227
National,X,2004,10,2708,257294,897,1.02765319840718,1.05249247942043,878,888,764,X,X,178
National,X,2004,11,2487,243802,849,1.05789602071851,1.0200900730921,730,826,756,X,X,175
National,X,2004,12,2300,248805,859,0.849361020491385,0.924418721488716,760,733,628,X,X,179
National,X,2004,13,1858,234998,828,0.747126665292176,0.790645026766185,610,611,495,X,X,142
National,X,2004,14,1705,212432,774,0.661707853318756,0.802609776304888,583,566,440,X,X,116
National,X,2004,15,1749,209178,755,0.679513857897956,0.836129994550096,545,573,500,X,X,131
National,X,2004,16,1615,203802,679,0.633070762506447,0.792435795527031,501,511,461,X,X,142
National,X,2004,17,1331,194708,658,0.569893715038825,0.683587731372106,470,404,349,X,X,108
National,X,2004,18,1394,184038,629,0.591356768666246,0.757452265293037,435,491,383,X,X,85
National,X,2004,19,1327,168276,599,0.589043559956717,0.788585419192279,449,443,361,X,X,74
National,X,2004,20,1262,155386,553,0.678640493481165,0.812170980654628,451,380,337,X,X,94
National,X,2004,21,1070,133008,463,0.637558475854445,0.804462889450259,375,349,280,X,X,66
National,X,2004,22,1061,120884,452,0.813309180414927,0.877700936434929,391,308,289,X,X,73
National,X,2004,23,987,133117,443,0.834551050052394,0.741453007504676,355,309,257,X,X,66
National,X,2004,24,851,128740,426,0.616174060980419,0.661022215317695,307,240,258,X,X,46
National,X,2004,25,887,124037,423,0.513285742502196,0.715109201286713,277,284,245,X,X,81
National,X,2004,26,698,124146,408,0.351881074467375,0.562241232097691,238,183,215,X,X,62
National,X,2004,27,710,90238,381,0.542621107164969,0.786808218267249,233,205,210,X,X,62
National,X,2004,28,836,97135,378,0.581036192538807,0.860657847325887,249,280,227,X,X,80
National,X,2004,29,659,95515,370,0.495486300239858,0.689943987855311,259,200,162,X,X,38
National,X,2004,30,719,92216,363,0.612090360269777,0.779691159885486,260,230,189,X,X,40
National,X,2004,31,733,116693,345,0.531490547922895,0.6281439332265,213,235,225,X,X,60
National,X,2004,32,809,89644,334,0.51998671084002,0.902458614073446,243,256,247,X,X,63
National,X,2004,33,770,95481,335,0.574475754137559,0.806443166703323,256,256,200,X,X,58
National,X,2004,34,799,91326,333,0.663175351255024,0.874887764711035,259,265,231,X,X,44
National,X,2004,35,960,96656,326,0.614691037252002,0.993213044197981,279,358,252,X,X,71
National,X,2004,36,913,104207,337,0.656822919932555,0.876140758298387,281,309,263,X,X,60
National,X,2004,37,1122,118343,341,0.723015723700438,0.948091564351081,342,413,299,X,X,68
National,X,2004,38,1089,117483,336,0.691857240149956,0.926942621485662,322,416,268,X,X,83
National,X,2004,39,1116,114857,364,0.782757764472338,0.97164299955597,333,382,319,X,X,82
National,X,2004,40,3171,353449,1176,0.982275251246415,0.897159137527621,877,1256,853,X,X,185
National,X,2004,41,3631,355116,1187,1.01821254355417,1.02248279435452,1071,1373,971,X,X,216
National,X,2004,42,4019,378094,1267,1.17680497469443,1.06296317846885,1240,1534,1019,X,X,226
National,X,2004,43,4369,380921,1293,1.30121171361561,1.14695698058128,1190,1671,1223,X,X,285
National,X,2004,44,4551,377692,1302,1.27745564951796,1.20495006513244,1327,1718,1215,X,X,291
National,X,2004,45,4969,380718,1344,1.40386862523137,1.30516550307577,1497,1874,1279,X,X,319
National,X,2004,46,4983,387182,1336,1.40301008402851,1.28699164733898,1531,1874,1279,X,X,299
National,X,2004,47,4713,295546,1341,1.73974780401595,1.59467561733199,1490,1678,1274,X,X,271
National,X,2004,48,5407,387004,1369,1.56894071647437,1.39714318198262,1538,2059,1434,X,X,376
National,X,2004,49,5428,374356,1346,1.65927173784707,1.44995672568357,1551,2052,1450,X,X,375
National,X,2004,50,5755,355806,1379,1.8134111594715,1.61745445551789,1670,2071,1643,X,X,371
National,X,2004,51,5689,259639,1288,2.37625578879506,2.19111920782317,1856,1807,1608,X,X,418
National,X,2004,52,7279,283617,1332,2.77052472140324,2.5664893148154,2252,1993,2413,X,X,621
National,X,2005,1,8041,369455,1383,2.40064287277021,2.17644909393566,2010,2450,2869,X,X,712
National,X,2005,2,8323,378024,1342,2.5415463783658,2.20171206060991,2188,2982,2542,X,X,611
National,X,2005,3,9328,368678,1348,2.85870638979955,2.53012113551663,2199,3682,2839,X,X,608
National,X,2005,4,12422,405254,1334,3.55010575773556,3.06523809758818,2747,5364,3586,X,X,725
National,X,2005,5,16192,406772,1303,4.58591287085604,3.98060830145634,3086,7650,4498,X,X,958
National,X,2005,6,19369,421461,1324,5.05808649712821,4.59568026460337,3626,8854,5757,X,X,1132
National,X,2005,7,19931,419426,1330,5.44150703292525,4.75197055022817,3834,8400,6515,X,X,1182
National,X,2005,8,16630,397883,1280,4.47290381550454,4.1796206422491,3720,6759,5125,X,X,1026
National,X,2005,9,13234,383196,1268,3.67520020609373,3.45358511049176,2997,5343,4058,X,X,836
National,X,2005,10,11601,367292,1227,3.33529975560688,3.15852237456846,2728,4494,3634,X,X,745
National,X,2005,11,9502,355454,1185,2.76223957427527,2.67320103304506,2416,3513,2969,X,X,604
National,X,2005,12,7900,335940,1148,2.46844399772953,2.35161040662023,2145,2771,2434,X,X,550
National,X,2005,13,6329,334438,1103,2.00080734472694,1.89242849197759,1827,2133,1979,X,X,390
National,X,2005,14,4816,315823,1048,1.54318952284238,1.52490477260997,1422,1737,1327,X,X,330
National,X,2005,15,4445,314948,1000,1.50195086621046,1.41134409489821,1356,1603,1169,X,X,317
National,X,2005,16,3825,305833,978,1.2291781100798,1.25068256205184,1096,1469,954,X,X,306
National,X,2005,17,3646,302065,971,1.21853900516301,1.20702497806763,1117,1411,894,X,X,224
National,X,2005,18,2990,277120,923,1.15831519645582,1.07895496535797,903,1136,762,X,X,189
National,X,2005,19,3012,263009,878,1.24900074402246,1.14520795866301,979,1115,710,X,X,208
National,X,2005,20,2531,238494,825,1.16887834051687,1.06124263084187,805,926,600,X,X,200
National,X,2005,21,2056,194550,687,1.07887841848831,1.0567977383706,687,695,518,X,X,156
National,X,2005,22,2099,167661,637,1.23059339195328,1.25193097977466,693,678,568,X,X,160
National,X,2005,23,1744,171960,603,1.14747488346169,1.01418934635962,548,594,462,X,X,140
National,X,2005,24,1614,154899,582,1.00254284822828,1.04196928321035,573,507,409,X,X,125
National,X,2005,25,1628,170645,587,0.957569141019123,0.954027366755545,580,507,431,X,X,110
National,X,2005,26,1359,160216,550,0.894837476411189,0.848229889648974,497,452,326,X,X,84
